Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
93,5,rectangle_java.jpg,Java,none,A,stage2,-13,-13,1,-25,-25,1
171,5,rectangle_java2.jpg,Java,medium,A,stage1,-14,-14,1,-15,-15,1
171,5,rectangle_java2.jpg,Java,medium,A,stage2,-20,-20,1,-35,-35,1
171,2,vehicle_java2.jpg,Java,medium,B,stage2,-60,-53,2,-44,-44,1
171,2,vehicle_java2.jpg,Java,medium,B,stage1,-13,-13,1,-15,-15,1
67,2,rectangle_java2.jpg,Java,high,A,stage2,-54,-51,2,-43,-43,1
67,2,rectangle_java2.jpg,Java,high,A,stage1,-33,-33,1,-30,-30,1
58,2,vehicle_java2.jpg,Java,medium,B,stage2,-24,-24,1,-38,-38,1
58,2,vehicle_java2.jpg,Java,medium,B,stage1,-28,-28,1,-25,-25,1
33,2,vehicle_java2.jpg,Java,high,B,stage1,-27,-27,1,-19,-19,1
33,2,vehicle_java2.jpg,Java,high,B,stage2,-76,-76,1,-76,-76,1
33,5,rectangle_java2.jpg,Java,high,A,stage1,-33,-31,2,-40,-40,1
33,5,rectangle_java2.jpg,Java,high,A,stage2,-37,-33,2,-39,-39,1
125,2,rectangle_java.jpg,Java,medium,A,stage2,-32,-32,1,-53,-53,1
125,2,rectangle_java.jpg,Java,medium,A,stage1,-29,-29,1,-26,-26,1
34,5,rectangle_java2.jpg,Java,medium,A,stage1,-14,-14,1,-12,-12,1
34,5,rectangle_java2.jpg,Java,medium,A,stage2,-39,-39,1,-55,-55,1
34,2,vehicle_java2.jpg,Java,medium,B,stage1,-27,-27,1,-45,-44,2
34,2,vehicle_java2.jpg,Java,medium,B,stage2,-40,-40,1,-37,-37,1
114,5,vehicle_java2.jpg,Java,medium,B,stage2,-14,-14,1,-25,-25,1
114,5,vehicle_java2.jpg,Java,medium,B,stage1,-24,-24,1,-20,-20,1
66,2,vehicle_java2.jpg,Java,medium,B,stage1,-36,-36,1,-32,-32,1
66,2,vehicle_java2.jpg,Java,medium,B,stage2,-1,-1,1,-11,-11,1
66,5,rectangle_java2.jpg,Java,medium,A,stage2,-21,-21,1,-45,-45,1
66,5,rectangle_java2.jpg,Java,medium,A,stage1,-23,-23,1,-22,-22,1
170,5,vehicle_java2.jpg,Java,medium,B,stage2,-27,-27,1,-43,-43,1
170,5,vehicle_java2.jpg,Java,medium,B,stage1,-86,-68,2,-88,-67,2
59,2,vehicle_java.jpg,Java,medium,B,stage1,-42,-42,1,-41,-41,1
59,2,vehicle_java.jpg,Java,medium,B,stage2,-59,-59,1,-72,-70,2
183,2,vehicle_java2.jpg,Java,medium,B,stage1,-81,-81,1,-77,-75,2
183,2,vehicle_java2.jpg,Java,medium,B,stage2,-62,-38,2,-63,-51,2
61,2,vehicle_java2.jpg,Java,medium,B,stage1,-15,-15,1,-16,-16,1
61,2,vehicle_java2.jpg,Java,medium,B,stage2,-74,-67,2,-74,-74,1
61,5,rectangle_java2.jpg,Java,medium,A,stage2,-110,-92,2,-105,-94,2
61,5,rectangle_java2.jpg,Java,medium,A,stage1,-60,-43,2,-78,-78,1
1,2,vehicle_java.jpg,Java,high,B,stage2,-43,-29,2,-45,-45,1
1,2,vehicle_java.jpg,Java,high,B,stage1,-7,-7,1,-11,-11,1
57,2,rectangle_java2.jpg,Java,medium,A,stage2,-15,-15,1,-25,-25,1
57,2,rectangle_java2.jpg,Java,medium,A,stage1,14,14,1,-26,-26,1
57,5,vehicle_java2.jpg,Java,medium,B,stage2,-52,-52,1,-52,-52,1
57,5,vehicle_java2.jpg,Java,medium,B,stage1,-28,-28,1,-23,-23,1
141,2,vehicle_java2.jpg,Java,low,B,stage1,10,10,1,-3,-3,1
141,2,vehicle_java2.jpg,Java,low,B,stage2,-22,-22,1,-41,-41,1
68,5,vehicle_java2.jpg,Java,medium,B,stage2,-28,-28,1,-40,-40,1
68,5,vehicle_java2.jpg,Java,medium,B,stage1,-7,-7,1,-7,-7,1
68,2,rectangle_java2.jpg,Java,medium,A,stage2,-61,-61,1,-69,-69,1
68,2,rectangle_java2.jpg,Java,medium,A,stage1,-18,-18,1,-9,-9,1
50,2,vehicle_java2.jpg,Java,medium,B,stage1,-95,-88,2,-111,-103,2
50,2,vehicle_java2.jpg,Java,medium,B,stage2,-114,-98,2,-119,-99,2
6,5,vehicle_java.jpg,Java,medium,B,stage1,-24,-24,1,-25,-25,1
6,5,vehicle_java.jpg,Java,medium,B,stage2,-33,-33,1,-59,-59,1
6,2,rectangle_java.jpg,Java,medium,A,stage2,-21,-21,1,-40,-40,1
6,2,rectangle_java.jpg,Java,medium,A,stage1,-10,-10,1,-21,-21,1
179,5,rectangle_java2.jpg,Java,low,A,stage1,-50,-49,2,-65,-65,1
179,5,rectangle_java2.jpg,Java,low,A,stage2,-58,-49,2,-55,-55,1
179,2,vehicle_java2.jpg,Java,low,B,stage1,-37,-37,1,-39,-39,1
179,2,vehicle_java2.jpg,Java,low,B,stage2,-78,-76,2,-79,-79,1
112,2,rectangle_java2.jpg,Java,medium,A,stage2,-37,-27,2,-41,-39,2
112,2,rectangle_java2.jpg,Java,medium,A,stage1,-43,-43,1,-63,-63,1
115,5,vehicle_java2.jpg,Java,medium,B,stage1,-56,-32,2,-50,-40,2
115,5,vehicle_java2.jpg,Java,medium,B,stage2,-93,-93,1,-99,-96,2
115,2,rectangle_java2.jpg,Java,medium,A,stage2,-20,-20,1,-39,-39,1
115,2,rectangle_java2.jpg,Java,medium,A,stage1,-10,-10,1,-30,-30,1
123,2,rectangle_java.jpg,Java,high,A,stage1,-7,-7,1,-32,-32,1
123,2,rectangle_java.jpg,Java,high,A,stage2,-16,-16,1,-53,-53,1
35,5,vehicle_java2.jpg,Java,low,B,stage1,-35,-35,1,-37,-37,1
35,5,vehicle_java2.jpg,Java,low,B,stage2,-66,-66,1,-70,-70,1
35,2,rectangle_java2.jpg,Java,low,A,stage1,-6,-6,1,-10,-10,1
35,2,rectangle_java2.jpg,Java,low,A,stage2,-33,-33,1,-39,-39,1
124,5,rectangle_java2.jpg,Java,medium,A,stage2,-38,-38,1,-56,-56,1
124,5,rectangle_java2.jpg,Java,medium,A,stage1,-51,-41,2,-43,-43,1
124,2,vehicle_java2.jpg,Java,medium,B,stage2,-82,-82,1,-75,-70,2
124,2,vehicle_java2.jpg,Java,medium,B,stage1,-37,-37,1,-47,-47,1
32,5,vehicle_java2.jpg,Java,high,B,stage1,-17,-17,1,-12,-12,1
32,5,vehicle_java2.jpg,Java,high,B,stage2,-24,-24,1,-43,-43,1
32,2,rectangle_java2.jpg,Java,high,A,stage1,6,6,1,-15,-15,1
32,2,rectangle_java2.jpg,Java,high,A,stage2,-23,-23,1,-44,-44,1
206,5,rectangle_java2.jpg,Java,low,A,stage1,-102,-90,2,-89,-89,1
206,5,rectangle_java2.jpg,Java,low,A,stage2,-105,-96,2,-115,-112,2
206,2,vehicle_java2.jpg,Java,low,B,stage2,-38,-38,1,-60,-60,1
206,2,vehicle_java2.jpg,Java,low,B,stage1,-72,-59,2,-76,-67,2
201,2,rectangle_java2.jpg,Java,medium,A,stage2,-14,-14,1,-50,-50,1
201,2,rectangle_java2.jpg,Java,medium,A,stage1,-25,-25,1,-29,-29,1
201,5,vehicle_java2.jpg,Java,medium,B,stage1,-15,-15,1,-12,-12,1
201,5,vehicle_java2.jpg,Java,medium,B,stage2,-13,-13,1,-36,-36,1
208,5,rectangle_java2.jpg,Java,low,A,stage2,-58,-58,1,-74,-74,1
208,5,rectangle_java2.jpg,Java,low,A,stage1,-29,-29,1,-19,-19,1
200,2,vehicle_java.jpg,Java,low,B,stage1,-29,-29,1,-24,-24,1
200,2,vehicle_java.jpg,Java,low,B,stage2,-51,-50,2,-55,-55,1
200,5,rectangle_java.jpg,Java,low,A,stage2,-60,-60,1,-71,-71,1
200,5,rectangle_java.jpg,Java,low,A,stage1,-44,-41,2,-52,-52,1
207,5,rectangle_java2.jpg,Java,medium,A,stage2,-76,-76,1,-57,-57,1
207,5,rectangle_java2.jpg,Java,medium,A,stage1,-27,-27,1,-41,-41,1
207,2,vehicle_java2.jpg,Java,medium,B,stage1,-57,-57,1,-53,-53,1
207,2,vehicle_java2.jpg,Java,medium,B,stage2,-53,-53,1,-64,-64,1
214,5,vehicle_java2.jpg,Java,medium,B,stage2,-138,-121,3,-151,-136,2
214,5,vehicle_java2.jpg,Java,medium,B,stage1,-58,-20,2,-72,-48,2
214,2,rectangle_java2.jpg,Java,medium,A,stage2,-78,-76,2,-67,-67,1
214,2,rectangle_java2.jpg,Java,medium,A,stage1,-48,-44,2,-65,-60,2
212,2,rectangle_java2.jpg,Java,medium,A,stage1,-34,-34,1,-33,-33,1
212,2,rectangle_java2.jpg,Java,medium,A,stage2,-55,-51,2,-54,-54,1
215,5,rectangle_java2.jpg,Java,medium,A,stage2,-36,-36,1,-33,-33,1
215,2,vehicle_java2.jpg,Java,medium,B,stage2,-62,-56,2,-68,-68,1
215,5,rectangle_java2.jpg,Java,medium,A,stage1,-4,-4,1,-31,-31,1
215,2,vehicle_java2.jpg,Java,medium,B,stage1,-64,-54,2,-54,-50,2
106,2,vehicle_java2.jpg,Java,medium,B,stage2,-61,-58,2,-58,-58,1
106,2,vehicle_java2.jpg,Java,medium,B,stage1,-45,-45,1,-41,-41,1
10,5,vehicle_java.jpg,Java,medium,B,stage1,-21,-21,1,-17,-17,1
10,5,vehicle_java.jpg,Java,medium,B,stage2,-24,-24,1,-42,-42,1
139,5,vehicle_java2.jpg,Java,low,B,stage1,-12,-12,1,-8,-8,1
139,5,vehicle_java2.jpg,Java,low,B,stage2,-16,-16,1,-27,-27,1
101,5,vehicle_java2.jpg,Java,medium,B,stage1,-148,-90,3,-157,-104,3
101,5,vehicle_java2.jpg,Java,medium,B,stage2,-144,-118,3,-155,-143,4
101,2,rectangle_java2.jpg,Java,medium,A,stage1,-10,-10,1,-43,-43,1
101,2,rectangle_java2.jpg,Java,medium,A,stage2,-3,-3,1,-19,-19,1
17,5,vehicle_java2.jpg,Java,medium,B,stage1,-31,-31,1,-28,-28,1
17,5,vehicle_java2.jpg,Java,medium,B,stage2,-74,-52,2,-71,-63,2
17,2,rectangle_java2.jpg,Java,medium,A,stage1,-32,-32,1,-38,-38,1
17,2,rectangle_java2.jpg,Java,medium,A,stage2,-50,-50,1,-66,-66,1
28,2,rectangle_java2.jpg,Java,medium,A,stage1,-3,-3,1,-14,-14,1
28,5,vehicle_java2.jpg,Java,medium,B,stage1,-15,-15,1,-13,-13,1
28,2,rectangle_java2.jpg,Java,medium,A,stage2,-60,-52,2,-55,-55,1
28,5,vehicle_java2.jpg,Java,medium,B,stage2,-18,-18,1,-35,-35,1
21,2,rectangle_java2.jpg,Java,low,A,stage2,-43,-43,1,-41,-41,1
21,2,rectangle_java2.jpg,Java,low,A,stage1,2,2,1,-25,-25,1
21,5,vehicle_java2.jpg,Java,low,B,stage1,-55,-55,1,-69,-69,1
21,5,vehicle_java2.jpg,Java,low,B,stage2,-45,-45,1,-59,-59,1
108,5,rectangle_java2.jpg,Java,high,A,stage1,0,-19,2,-25,-25,1
108,5,rectangle_java2.jpg,Java,high,A,stage2,-48,-48,1,-50,-50,1
108,2,vehicle_java2.jpg,Java,high,B,stage2,-38,-38,1,-35,-35,1
108,2,vehicle_java2.jpg,Java,high,B,stage1,-1,-1,1,-16,-16,1
26,2,vehicle_java2.jpg,Java,high,B,stage2,-45,-45,1,-33,-33,1
26,2,vehicle_java2.jpg,Java,high,B,stage1,-23,-23,1,-24,-24,1
19,5,vehicle_java.jpg,Java,medium,B,stage1,-12,-12,1,-8,-8,1
19,5,vehicle_java.jpg,Java,medium,B,stage2,-37,-25,2,-24,-24,1
72,2,vehicle_java2.jpg,Java,medium,B,stage1,-55,-49,2,-70,-70,1
72,2,vehicle_java2.jpg,Java,medium,B,stage2,-89,-87,2,-99,-99,1
164,2,vehicle_java2.jpg,Java,low,B,stage1,-59,-59,1,-55,-55,1
164,2,vehicle_java2.jpg,Java,low,B,stage2,-49,-49,1,-74,-69,2
164,5,rectangle_java2.jpg,Java,low,A,stage1,-51,-48,2,-46,-46,1
164,5,rectangle_java2.jpg,Java,low,A,stage2,-49,-49,1,-62,-62,1
86,2,rectangle_java2.jpg,Java,medium,A,stage2,-89,-54,2,-76,-76,1
86,2,rectangle_java2.jpg,Java,medium,A,stage1,-44,-33,2,-57,-57,1
86,5,vehicle_java2.jpg,Java,medium,B,stage2,-42,-36,2,-47,-47,1
86,5,vehicle_java2.jpg,Java,medium,B,stage1,-20,-20,1,-16,-16,1
190,2,vehicle_java2.jpg,Java,medium,B,stage1,-3,-3,1,-1,-1,1
190,2,vehicle_java2.jpg,Java,medium,B,stage2,-17,-17,1,-37,-37,1
81,5,rectangle_java.jpg,Java,medium,A,stage1,-14,-14,1,-22,-22,1
81,5,rectangle_java.jpg,Java,medium,A,stage2,-27,-27,1,-43,-43,1
81,2,vehicle_java.jpg,Java,medium,B,stage1,-34,-34,1,-39,-39,1
81,2,vehicle_java.jpg,Java,medium,B,stage2,-4,-2,2,-29,-16,2
197,2,vehicle_java.jpg,Java,medium,B,stage1,-19,-19,1,-25,-25,1
197,2,vehicle_java.jpg,Java,medium,B,stage2,-45,-45,1,-66,-66,1
75,2,vehicle_java.jpg,Java,medium,B,stage1,-41,-34,2,-42,-38,2
75,2,vehicle_java.jpg,Java,medium,B,stage2,-55,-55,1,-61,-61,1
75,5,rectangle_java.jpg,Java,medium,A,stage1,-24,-24,1,-40,-40,1
75,5,rectangle_java.jpg,Java,medium,A,stage2,-40,-36,2,-46,-46,1
163,2,vehicle_java.jpg,Java,low,B,stage1,-23,-23,1,-19,-19,1
163,2,vehicle_java.jpg,Java,low,B,stage2,-26,-26,1,-47,-47,1
163,5,rectangle_java.jpg,Java,low,A,stage1,-23,-23,1,-20,-20,1
163,5,rectangle_java.jpg,Java,low,A,stage2,-46,-46,1,-57,-57,1
88,2,rectangle_java2.jpg,Java,high,A,stage1,-16,-16,1,-23,-23,1
88,2,rectangle_java2.jpg,Java,high,A,stage2,-36,-36,1,-37,-37,1
88,5,vehicle_java2.jpg,Java,high,B,stage2,-26,-26,1,-22,-22,1
88,5,vehicle_java2.jpg,Java,high,B,stage1,-23,-23,1,-24,-24,1
43,2,vehicle_java2.jpg,Java,low,B,stage1,-37,-15,2,-36,-16,2
43,2,vehicle_java2.jpg,Java,low,B,stage2,-94,-79,3,-100,-96,2
43,5,rectangle_java2.jpg,Java,low,A,stage2,-16,-16,1,-46,-46,1
43,5,rectangle_java2.jpg,Java,low,A,stage1,-48,-48,1,-38,-38,1
155,5,rectangle_java2.jpg,Java,medium,A,stage2,-43,-43,1,-36,-36,1
155,5,rectangle_java2.jpg,Java,medium,A,stage1,-3,-3,1,-19,-19,1
155,2,vehicle_java2.jpg,Java,medium,B,stage1,-36,-36,1,-39,-39,1
155,2,vehicle_java2.jpg,Java,medium,B,stage2,-65,-54,2,-65,-65,1
44,2,vehicle_java2.jpg,Java,medium,B,stage1,-44,-32,2,-46,-35,2
44,2,vehicle_java2.jpg,Java,medium,B,stage2,-78,-62,3,-83,-81,2
44,5,rectangle_java2.jpg,Java,medium,A,stage2,-40,-40,1,-51,-51,1
44,5,rectangle_java2.jpg,Java,medium,A,stage1,-6,-6,1,-32,-32,1
27,2,vehicle_java.jpg,Java,low,B,stage1,-12,-12,1,-8,-8,1
27,2,vehicle_java.jpg,Java,low,B,stage2,-26,-26,1,-36,-36,1
27,5,rectangle_java.jpg,Java,low,A,stage2,-15,-15,1,-50,-50,1
27,5,rectangle_java.jpg,Java,low,A,stage1,6,6,1,-29,-29,1
18,2,vehicle_java.jpg,Java,medium,B,stage1,-39,-39,1,-35,-35,1
18,2,vehicle_java.jpg,Java,medium,B,stage2,-112,-84,2,-108,-99,2
20,5,vehicle_java2.jpg,Java,medium,B,stage2,-75,-75,1,-67,-67,1
20,2,rectangle_java2.jpg,Java,medium,A,stage1,-21,-21,1,-28,-28,1
20,5,vehicle_java2.jpg,Java,medium,B,stage1,-31,-31,1,-32,-32,1
20,2,rectangle_java2.jpg,Java,medium,A,stage2,-22,-22,1,-44,-44,1
109,5,rectangle_python.jpg,Python,medium,A,stage1,2,2,1,-8,-8,1
109,2,vehicle_python.jpg,Python,medium,B,stage1,-10,-10,1,-6,-6,1
109,5,rectangle_python.jpg,Python,medium,A,stage2,-22,-21,2,-20,-20,1
109,2,vehicle_python.jpg,Python,medium,B,stage2,-32,-19,2,-34,-33,2
16,5,vehicle_java2.jpg,Java,high,B,stage2,-85,-67,2,-104,-94,2
16,5,vehicle_java2.jpg,Java,high,B,stage1,-68,-68,1,-67,-67,1
16,2,rectangle_java2.jpg,Java,high,A,stage2,-63,-52,2,-55,-55,1
16,2,rectangle_java2.jpg,Java,high,A,stage1,-20,-20,1,-25,-25,1
29,2,vehicle_java2.jpg,Java,low,B,stage1,-52,-52,1,-57,-57,1
29,2,vehicle_java2.jpg,Java,low,B,stage2,-51,-51,1,-47,-47,1
29,5,rectangle_java2.jpg,Java,low,A,stage1,-35,-34,2,-32,-32,1
29,5,rectangle_java2.jpg,Java,low,A,stage2,-68,-68,1,-56,-56,1
107,2,rectangle_java.jpg,Java,medium,A,stage2,-15,-15,1,-40,-40,1
107,2,rectangle_java.jpg,Java,medium,A,stage1,-5,-5,1,-33,-33,1
138,2,rectangle_java2.jpg,Java,medium,A,stage2,-14,-14,1,-43,-43,1
138,2,rectangle_java2.jpg,Java,medium,A,stage1,-24,-23,2,-24,-24,1
89,5,rectangle_java2.jpg,Java,medium,A,stage1,-6,-6,1,-26,-26,1
89,5,rectangle_java2.jpg,Java,medium,A,stage2,-40,-40,1,-47,-47,1
89,2,vehicle_java2.jpg,Java,medium,B,stage2,-44,-30,2,-51,-34,2
89,2,vehicle_java2.jpg,Java,medium,B,stage1,-7,-7,1,-31,-31,1
154,5,rectangle_java2.jpg,Java,low,A,stage1,-71,-65,2,-61,-61,1
154,2,vehicle_java2.jpg,Java,low,B,stage2,-112,-105,2,-135,-115,3
154,5,rectangle_java2.jpg,Java,low,A,stage2,-53,-51,2,-58,-58,1
154,2,vehicle_java2.jpg,Java,low,B,stage1,-86,-86,1,-103,-103,1
42,5,rectangle_java2.jpg,Java,high,A,stage1,-7,-7,1,-21,-21,1
42,5,rectangle_java2.jpg,Java,high,A,stage2,-17,-17,1,-31,-31,1
42,2,vehicle_java2.jpg,Java,high,B,stage2,-26,-26,1,-27,-27,1
42,2,vehicle_java2.jpg,Java,high,B,stage1,-2,-2,1,-19,-19,1
162,2,rectangle_java.jpg,Java,low,A,stage1,-49,-27,2,-43,-33,2
162,2,rectangle_java.jpg,Java,low,A,stage2,-66,-56,3,-64,-64,1
74,2,rectangle_java2.jpg,Java,high,A,stage1,-3,-3,1,-17,-17,1
74,2,rectangle_java2.jpg,Java,high,A,stage2,-7,-7,1,-39,-39,1
74,5,vehicle_java2.jpg,Java,high,B,stage1,-5,-5,1,-7,-7,1
74,5,vehicle_java2.jpg,Java,high,B,stage2,-35,-35,1,-34,-34,1
196,2,vehicle_java2.jpg,Java,low,B,stage2,-54,-53,2,-56,-56,1
196,2,vehicle_java2.jpg,Java,low,B,stage1,-38,-38,1,-44,-44,1
196,5,rectangle_java2.jpg,Java,low,A,stage2,-92,-85,3,-84,-80,2
196,5,rectangle_java2.jpg,Java,low,A,stage1,-52,-46,2,-60,-60,1
80,5,rectangle_java.jpg,Java,high,A,stage2,-37,-34,2,-34,-34,1
80,5,rectangle_java.jpg,Java,high,A,stage1,-42,-42,1,-30,-30,1
80,2,vehicle_java.jpg,Java,high,B,stage2,-31,-31,1,-36,-36,1
80,2,vehicle_java.jpg,Java,high,B,stage1,-6,-6,1,-22,-22,1
191,2,vehicle_java2.jpg,Java,medium,B,stage2,-61,-61,1,-74,-74,1
191,2,vehicle_java2.jpg,Java,medium,B,stage1,-34,-34,1,-33,-33,1
87,2,rectangle_java2.jpg,Java,high,A,stage1,-49,-49,1,-51,-51,1
87,2,rectangle_java2.jpg,Java,high,A,stage2,-34,-34,1,-58,-58,1
87,5,vehicle_java2.jpg,Java,high,B,stage1,-46,-46,1,-42,-42,1
87,5,vehicle_java2.jpg,Java,high,B,stage2,6,6,1,-19,-19,1
73,5,rectangle_java2.jpg,Java,medium,A,stage2,-66,-61,2,-74,-74,1
73,5,rectangle_java2.jpg,Java,medium,A,stage1,-46,-46,1,-42,-42,1
73,2,vehicle_java2.jpg,Java,medium,B,stage2,-80,-80,1,-92,-84,2
73,2,vehicle_java2.jpg,Java,medium,B,stage1,-65,-65,1,-71,-71,1
37,5,vehicle_java2.jpg,Java,low,B,stage2,-48,-48,1,-67,-67,1
37,5,vehicle_java2.jpg,Java,low,B,stage1,-35,-35,1,-42,-42,1
37,2,rectangle_java2.jpg,Java,low,A,stage2,-33,-33,1,-46,-46,1
37,2,rectangle_java2.jpg,Java,low,A,stage1,-31,-31,1,-31,-31,1
121,5,rectangle_java2.jpg,Java,medium,A,stage1,-26,-26,1,-43,-43,1
121,5,rectangle_java2.jpg,Java,medium,A,stage2,-51,-51,1,-58,-58,1
30,2,vehicle_java2.jpg,Java,none,B,stage1,-41,-41,1,-37,-37,1
30,2,vehicle_java2.jpg,Java,none,B,stage2,-30,-30,1,-53,-53,1
30,5,rectangle_java2.jpg,Java,none,A,stage1,-27,-27,1,-25,-25,1
30,5,rectangle_java2.jpg,Java,none,A,stage2,-50,-50,1,-58,-58,1
126,2,vehicle_java2.jpg,Java,high,B,stage1,-25,-25,1,-50,-50,1
126,2,vehicle_java2.jpg,Java,high,B,stage2,-92,-85,2,-95,-95,1
126,5,rectangle_java2.jpg,Java,high,A,stage1,-17,-17,1,-49,-49,1
126,5,rectangle_java2.jpg,Java,high,A,stage2,-61,-61,1,-75,-75,1
110,2,rectangle_java2.jpg,Java,medium,A,stage1,-4,-4,1,-19,-19,1
110,2,rectangle_java2.jpg,Java,medium,A,stage2,-25,-25,1,-29,-29,1
110,5,vehicle_java2.jpg,Java,medium,B,stage2,-16,-16,1,-40,-40,1
110,5,vehicle_java2.jpg,Java,medium,B,stage1,-18,-18,1,-14,-14,1
128,5,vehicle_java2.jpg,Java,medium,B,stage2,-119,-80,3,-118,-100,3
128,5,vehicle_java2.jpg,Java,medium,B,stage1,-56,-34,2,-54,-30,2
128,2,rectangle_java2.jpg,Java,medium,A,stage1,-12,-12,1,-19,-19,1
128,2,rectangle_java2.jpg,Java,medium,A,stage2,-81,-74,3,-66,-66,1
117,5,rectangle_java2.jpg,Java,medium,A,stage2,-70,-59,2,-71,-71,1
117,2,vehicle_java2.jpg,Java,medium,B,stage1,-42,-42,1,-37,-37,1
117,5,rectangle_java2.jpg,Java,medium,A,stage1,-39,-39,1,-45,-45,1
117,2,vehicle_java2.jpg,Java,medium,B,stage2,-48,-37,2,-56,-56,1
3,5,rectangle_java2.jpg,Java,none,A,stage2,-22,-22,1,-51,-51,1
3,5,rectangle_java2.jpg,Java,none,A,stage1,-21,-21,1,-27,-27,1
3,2,vehicle_java2.jpg,Java,none,B,stage1,-43,-43,1,-45,-45,1
3,2,vehicle_java2.jpg,Java,none,B,stage2,-19,-19,1,-40,-40,1
143,2,vehicle_java2.jpg,Java,high,B,stage2,-27,-27,1,-46,-46,1
143,2,vehicle_java2.jpg,Java,high,B,stage1,-20,-20,1,-15,-15,1
143,5,rectangle_java2.jpg,Java,high,A,stage2,-22,-22,1,-50,-50,1
